,name,tag,singer,song,img
0,사이다처럼 시원한 음악과 함께 홈캉스 즐기기!,"오늘의선곡,DJ,지니,가요,댄스,드라이브,휴가/여행,운동,기분전환,신나는,여름,더운날,국내음악",방탄소년단, Permission to Dance,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/131/679/82131679_1625795131913_1_140x140.JPG/dims/resize/Q_80,0"
1,사이다처럼 시원한 음악과 함께 홈캉스 즐기기!,"오늘의선곡,DJ,지니,가요,댄스,드라이브,휴가/여행,운동,기분전환,신나는,여름,더운날,국내음악",태연 (TAEYEON), Weekend,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/126/712/82126712_1625554274209_1_140x140.JPG/dims/resize/Q_80,0"
2,사이다처럼 시원한 음악과 함께 홈캉스 즐기기!,"오늘의선곡,DJ,지니,가요,댄스,드라이브,휴가/여행,운동,기분전환,신나는,여름,더운날,국내음악",브레이브걸스 (Brave girls), 치맛바람 (Chi Mat Ba Ram),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/095/179/82095179_1623911199725_1_140x140.JPG/dims/resize/Q_80,0"
3,사이다처럼 시원한 음악과 함께 홈캉스 즐기기!,"오늘의선곡,DJ,지니,가요,댄스,드라이브,휴가/여행,운동,기분전환,신나는,여름,더운날,국내음악",SF9, 여름 향기가 날 춤추게 해 (Summer Breeze),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/494/440/81494440_1594022347383_1_140x140.JPG/dims/resize/Q_80,0"
4,사이다처럼 시원한 음악과 함께 홈캉스 즐기기!,"오늘의선곡,DJ,지니,가요,댄스,드라이브,휴가/여행,운동,기분전환,신나는,여름,더운날,국내음악",아이유 (IU), Into the I-LAND,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/479/858/81479858_1592548814111_1_140x140.JPG/dims/resize/Q_80,0"
5,사이다처럼 시원한 음악과 함께 홈캉스 즐기기!,"오늘의선곡,DJ,지니,가요,댄스,드라이브,휴가/여행,운동,기분전환,신나는,여름,더운날,국내음악",SHINee (샤이니),Heart Attack,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/910/876/81910876_1613977506791_1_140x140.JPG/dims/resize/Q_80,0"
6,사이다처럼 시원한 음악과 함께 홈캉스 즐기기!,"오늘의선곡,DJ,지니,가요,댄스,드라이브,휴가/여행,운동,기분전환,신나는,여름,더운날,국내음악",PRODUCE 101, PICK ME,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/765/910/80765910_1450336740266_1_140x140.JPG/dims/resize/Q_80,0"
7,사이다처럼 시원한 음악과 함께 홈캉스 즐기기!,"오늘의선곡,DJ,지니,가요,댄스,드라이브,휴가/여행,운동,기분전환,신나는,여름,더운날,국내음악",NCT U,Interlude: Past to Present,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/615/027/81615027_1602486194672_1_140x140.JPG/dims/resize/Q_80,0"
8,사이다처럼 시원한 음악과 함께 홈캉스 즐기기!,"오늘의선곡,DJ,지니,가요,댄스,드라이브,휴가/여행,운동,기분전환,신나는,여름,더운날,국내음악",그루비룸 (GroovyRoom), FYL (Feat. Golden),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/554/705/81554705_1598596416087_1_140x140.JPG/dims/resize/Q_80,0"
9,사이다처럼 시원한 음악과 함께 홈캉스 즐기기!,"오늘의선곡,DJ,지니,가요,댄스,드라이브,휴가/여행,운동,기분전환,신나는,여름,더운날,국내음악",EXO,Beyond,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/154/979/81154979_1548831111396_1_140x140.JPG/dims/resize/Q_80,0"
10,사이다처럼 시원한 음악과 함께 홈캉스 즐기기!,"오늘의선곡,DJ,지니,가요,댄스,드라이브,휴가/여행,운동,기분전환,신나는,여름,더운날,국내음악",우주소녀,HOLA,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/466/807/81466807_1591689057114_1_140x140.JPG/dims/resize/Q_80,0"
