PLAYLIST_NO,PLAYLIST_NAME,SONG_TAG,USER_ID,USER_NO
0,선베드에 누워서 파도소리와 함께,"해외,여름,휴양지/해변,바다,쉬는시간,여유로운,주말/휴일,나른해지는",,
1,무너질 마음에 기대곤 해,"국내,인디,감성적인,비/흐림,장마,인디락,국내,인디,락",,
2,부슬부슬 비 내리는 오후의 플레이리스트,"국내외,비/흐림,장마,오후,여유로운,주말/휴일",,
3,기억 속 여름밤 루프탑은 이런 느낌,"해외,팝송,해외,팝,루프탑,여름밤,와인,맥주,선선한,여름,밤/새벽",,
4,올여름은 내가 제일 행복해야지,"국내,알앤비,방콕러,여름,그루브한,방안에서,코로나/재택근무",,
5,시원청량한 트로피컬 하우스 원샷 드링킹:),"해외,일렉트로닉,여름,신나는,트로피컬,일렉트로닉팝,드라이브,휴양지/해변,휴가,시원한,청량한,상쾌한,바다,팝송,해외,팝",,
6,첫 곡 듣자마자 분위기 초여름,"국내외,초여름,산뜻한,화창한,날,여름",,
7,카페와 펍 그 사이,"국내,인디,힙합,그루브한,감성힙합,국내,인디,국내,랩/힙합",,
8,가든을 날으는 검정 나비를 좋아하시나요?,"국내,인디,감성적인,밤/새벽,국내,인디",,
9,세상은 나를 중심으로 돌아가지,"국내외,자신감,여성보컬,여성래퍼,지치고,힘들때,응원,취준/수험생,당당한",,
10,이런 재질의 보컬 사운드는 못 참지!,"국내,인디,감성적인,목소리/음색,국내,인디",,
11,컴백! 존 메이어 필청트랙 #CD이벤트,"해외,아티스트,존,메이어,John,Mayer,미국",,
12,퍼피레드 하고 싶다 님의 미니파크 (1/30),"국내외,추억/회상,2000년대,8090세대,Y세대,밀레니얼세대",,
13,세포까지 얼어 붙는 공포 트랙,"국내외,이색테마,공포/호러,긴장감,할로윈,할로윈데이,무서운",,
14,뻔한 건 가라!!! 여성 래퍼 열전 18탄!!,"해외,힙합,여성래퍼,래퍼,여성보컬,그루브한,해외,랩/힙합",,
15,주기적 힙-합 듣기,"해외,힙합,강한,비트,그루브한,스트레스/짜증,해외,랩/힙합",,
16,고막에 네온사인 비춰줄 음색들,"국내,인디,알앤비,힙합,그루브한,목소리/음색,국내,인디,국내,랩/힙합",,
17,나만 알고 싶은 숨겨진 노래,"국내,인디,나만알고싶은,국내,인디",,
18,"행복한 땐스왕 : Dance, Dance, Dancer","국내외,신나는,경쾌한,기분전환,내적댄스",,
19,밥 먹고 커피 한잔할래?,"해외,팝송,해외,팝,썸,탈때,드라이브,데이트,연애",,
20,꿈같은 노래와 설레이는 저녁,"해외,팝송,해외,팝,저녁,데이트,저녁산책,기분전환,드라이브",,
21,"선선한 바람과 함께, 여름밤의 가곡 모음","국내외,가곡,성악,클래식한,여름밤",,
22,여름이다~ 여름노래 다 모여~ #2,"국내외,여름,신나는",,
23,지나간걸 우짜겠노? 이자뿌야지,"해외,싱숭생숭",,
24,2021년 여름 베스트 댄스 믹스,"해외,일렉트로닉,여름,EDM,클럽/파티,신나는,드라이브,일렉트로닉팝,편집숍/매장,술집/펍",,
25,"뜨거운 여름날, sunset & beer","해외,팝송,여름,노을,감각적인,힙스터,여름밤,맥주,혼술혼밥,작업실,밤샘작업,저녁,밤/새벽,해외,팝",,
26,세상은 나를 중심으로 돌아 forever,"해외,팝송,해외,팝,일상,기분전환,데일리,팝,등교/출근길",,
27,여름 여행 드라이브 필청! 청량한 음악 #4,"국내,가요,아이돌,KPOP,여름,신나는,경쾌한,산책/여행,드라이브,바다,청량한,트로피컬,제습송,시원한",,
28,재택근무 하면서 듣는 Chill House 3,"해외,일렉트로닉,하우스,코로나/재택근무,칠하우스,쉬는시간,세부장르,방콕러,감성일렉,작업실",,
29,피크닉이 생각나는 햇살 좋은 날,"해외,팝송,해외,팝,화창한,날,등교/출근길,출근/퇴근길,데일리,팝,기분전환,일상,산책/여행",,
30,여름밤에도 채도 낮은 감성이 필요하니까,"국내,인디,여름밤,감성적인,여름,밤/새벽,멍때릴때,국내,인디",,
31,기억 조작되는 하이틴 BGM,"해외,팝송,해외,팝,하이틴,주인공,기억조작,10대,신나는,경쾌한",,
32,딥하우스에 진심인 편,"해외,일렉트로닉,딥하우스,하우스,작업실",,
33,우린 낭만이란 배를 타고 떠나갈 거야,"국내,인디,여름밤,선선한,밴드,국내,인디,드라이브,심야,드라이브,여름,밤/새벽",,
34,길거리에 울려퍼지는 트렌디하고 핫한 팝30,"해외,팝송,해외 팝, 트렌디한,술집/펍,편집숍/매장",,
35,"이 세상의 달달함 모두 모아, Duet #2","국내,인디,듀엣/피처링,피처링,달달한,남녀듀엣,국내,인디",,
